CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
682963,CR-0000092539,0,0,0,0,22-162-0662,False,False,0.0,6/11/2022 5:24:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
689753,CR-0000095771,0,1,0,0,22-341-0132,False,False,0.0,12/7/2022 12:16:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,Controls Functioning,Clear,Vehicle/Bike,Intersection,Bike,Not Applicable,Not Applicable,At,,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
685129,CR-0000093802,0,0,0,0,22-235-0705,False,False,0.0,8/23/2022 2:20:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
685140,CR-0000093816,0,0,0,0,22-234-0592,False,False,0.0,8/22/2022 2:44:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,85876,LUCRETIA AV,STORY RD,37.33016919,-121.8574591
690858,CR-0000096999,0,0,0,0,23-021-0344,False,False,0.0,1/21/2023 12:16:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,85854,LUCRETIA AV,OWSLEY AV,37.32910404,-121.8564182
688911,CR-0000094773,0,0,0,0,22-279-0189,False,False,,10/6/2022 7:57:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Sideswipe,Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,16180,BELLHURST AV,LUCRETIA AV,37.32836329,-121.8556732
711836,CR-0000101070,0,0,0,0,23-293-0590,False,False,500.0,10/20/2023 4:17:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Head On,Non-Related,Other Vehicle,Not Applicable,Not Applicable,West Of,,True,True,40347,CLEMENCE AV,WALNUT WOODS DR,37.32887941,-121.8530494
690668,CR-0000096801,0,0,0,0,23-018-0939,True,False,0.0,1/18/2023 10:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Parked Vehicle,Not Applicable,Not Applicable,At,,False,True,40314,CLEMENCE AV,OWSLEY AV,37.33039267,-121.8544125
719654,CR-0000102825,0,0,0,0,24-006-0407,False,False,375.0,1/6/2024 6:36:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Other,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,True,89825,MCLAUGHLIN AV,OWSLEY AV/PIPE DREAM CT,37.33144974,-121.8523999
699020,CR-0000100325,0,1,0,0,23-293-0727,False,False,190.0,10/20/2023 6:20:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,89825,MCLAUGHLIN AV,OWSLEY AV/PIPE DREAM CT,37.33144974,-121.8523999
699039,CR-0000100345,1,0,0,0,23-190-0850,False,False,0.0,7/9/2023 10:50:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,55912,ELEVENTH ST,VESTAL ST,37.35732922,-121.8920083
696114,CR-0000099255,0,0,0,0,23-230-0734,False,False,0.0,8/18/2023 6:30:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,True,112518,TWELFTH ST,VESTAL ST,37.35777479,-121.8910765
