"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"699064","CR-0000100370","1","1","0","0","23-365-0231","False","False","50.0","12/31/2023 8:55:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","South Of","WALL","True","True","107580","SARATOGA AV","OLGA DR/STRAWBERRY PARK DR","37.31067293","-121.9773396"
"690651","CR-0000096773","0","0","0","0","23-028-0141","True","False","372.0","1/28/2023 2:51:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","LIGHT POLE","False","True","60532","FIRST ST","RIVER OAKS PW/PL","37.40199199","-121.9394831"
"699203","CR-0000100524","0","0","0","0","23-153-0462","False","False","50.0","6/1/2023 1:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","True","True","90573","MERIDIAN AV","NOREEN DR","37.2619032","-121.9018972"
"715953","CR-0000101734","0","0","0","0","23-224-0812","False","False","160.0","8/12/2023 9:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","West Of","","True","True","70510","HAROLD AV","STEVENS CREEK BL","37.32326237","-121.9621764"
"698880","CR-0000100176","0","1","0","0","23-308-0849","False","False","0.0","11/4/2023 10:19:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","13309","BARNARD AV","LITTLE ORCHARD ST","37.30755452","-121.8740644"
"711708","CR-0000101319","0","0","0","0","23-337-0186","False","False","39.0","12/3/2023 4:38:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","South Of","FENCE","True","True","13309","BARNARD AV","LITTLE ORCHARD ST","37.30755452","-121.8740644"
"690646","CR-0000096768","0","0","0","0","23-021-0645","False","False","0.0","1/21/2023 6:53:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","True","4245","ALMA AV","VINE ST","37.31281811","-121.8790895"
"690695","CR-0000096830","1","0","0","0","23-029-0364","True","False","0.0","1/29/2023 10:52:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Obscured","Cloudy","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","LIGHT POLE","False","True","4245","ALMA AV","VINE ST","37.31281811","-121.8790895"
"691355","CR-0000097604","1","0","0","0","23-084-0198","False","False","35.0","3/25/2023 8:00:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Motor Vehicle On Other Roadway","Not Applicable","Not Applicable","East Of","","True","True","47431","CURTNER AV","LITTLE ORCHARD ST","37.30002084","-121.8665838"
"698900","CR-0000100199","1","0","0","0","23-326-0155","False","False","0.0","11/22/2023 6:24:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","True","True","47431","CURTNER AV","LITTLE ORCHARD ST","37.30002084","-121.8665838"
