Latitude,Longitude,typeofdata
37.2981631,-121.9496088,police
37.323568,-121.9114089,police
37.3422116,-121.8350423,police
37.3344209,-121.8297473,police
37.4020179,-121.9396626,police
37.3449767,-121.8479409,police
37.3400397,-121.8608838,police
37.363282,-121.846051,police
37.3281978,-121.8943026,police
37.345654,-121.8706407,police
37.2711209,-121.8185559,police
37.3854811,-121.8733206,police
37.2711209,-121.8185559,police
37.3882654,-121.8619666,police
37.2630119,-121.87682,police
37.32245229999999,-121.825999,police
37.3561899,-121.8191132,police
37.3109676,-121.8682868,police
37.3470589,-121.8327162,police
37.2782652,-121.8565603,police
37.35840460000001,-121.8429618,police
37.2378168,-121.7718054,police
37.3258188,-121.8852843,police
37.3509517,-121.8363796,police
37.3509517,-121.8363796,police
37.388508,-121.899528,police
37.263148,-121.864869,police
37.3483204,-121.9060533,police
37.3702414,-121.8429942,police
37.3270954,-121.8751891,police
37.2572451,-121.8040713,police
37.331569,-121.9092266,police
37.276237,-121.8061105,police
37.3335903,-121.8743866,police
37.3427391,-121.8575557,police
37.3238864,-121.8238311,police
37.3408001,-121.9229831,police
37.3541307,-121.8585075,police
37.284134,-121.7736887,police
37.2602201,-121.8102612,police
37.3458419,-121.8138585,police
37.2903004,-121.8106039,police
37.3660496,-121.8056093,police
37.3426893,-121.9128086,police
37.257136,-121.8408775,police
37.3194236,-121.9828003,police
37.3591457,-121.842401,police
37.2926819,-121.8402386,police
37.3441132,-121.8363005,police
37.2770271,-121.9876426,police
37.3528696,-121.8861721,police
37.2729962,-121.8693808,police
37.2743432,-121.8603926,police
37.3751135,-121.8356205,police
37.3625135,-121.9143632,police
37.354582,-121.820854,police
37.3136006,-121.7740862,police
37.3371695,-121.8884978,police
37.3185058,-121.8360171,police
37.4236079,-121.9604531,police
37.387752,-121.8833817,police
37.3826816,-121.8959423,police
37.3790629,-121.92269,police
37.3017085,-121.9229218,police
37.3647187,-121.8495355,police
37.3519173,-121.8313714,police
37.32245229999999,-121.825999,police
37.4207554,-121.8600668,police
37.41596,-121.8750992,police
37.3341482,-121.884354,police
37.2962017,-121.8381735,police
37.3585818,-121.8436056,police
37.2785614,-121.7757394,police
37.2681828,-121.8079034,police
37.3300717,-121.8855671,police
37.24553,-121.8919912,police
37.3209154,-121.791048,police
37.3519173,-121.8313714,police
37.4123626,-121.9594913,police
